,title,hits
0,[분데스리가] 1R 베르더 브레멘 vs 바이에른 뮌헨,1270285
1,이세계아이돌 (ISEGYE IDOL) - KIDDING (키딩) Official MV,1887396
2,마! 내 또 왔데이👋 부산 토박이들의 찐맛집 복수혈전🍴 | 또간집 EP.34,1563990
3,지구의 모든 나라들이 25만 달러를 위해 싸우다,67305792
4,(PL 2R) 토트넘 홋스퍼 2-0 맨체스터 유나이티드 // 2분 하이라이트 (🇰🇷 한글자막),445851
5,[23/24시즌 리그앙] 2R 툴루즈 vs 파리 생제르맹 2분 하이라이트,767997
6,[후토크] 추멘 “이런 토트넘 축구는 처음” 맨유 압도했던 NEW 토트넘의 놀라운 경기력!!,334973
7,TOTTENHAM HOTSPUR 2-0 MANCHESTER UNITED | PREMIER LEAGUE HIGHLIGHTS,2573209
8,[MIX & MAX] NCT MARK & JISUNG (마크&지성) 'Some Minds & Voices' (4K),468883
9,P의 연애,383257
10,나한테 잘해줬던 여자,477189
11,이제는로맨스까지접수한형이랑또나불,1439983
12,aespa 에스파 'Better Things' MV,29614564
13,남반구만 가면 풀파워 🇪🇸🛳 / 2023 FIFA 호주·뉴질랜드 여자월드컵 결승전 스페인 vs 잉글랜드 [습츠_여자월드컵],279437
14,저는 보통 해축이 개막하면 주간모음집을 봐요｜23/24 해외축구 주간 모음.zip [EP.01],493482
15,음식이 너무 맛있어요,2729284
16,"[나 혼자 산다] 깡 🍶 술 마시는 지효를 찾아온 찐친 트와이스 정연 😍 어딘가로 향하는 둘?!, MBC 230818 방송",334835
17,[SUB] 🔥충격 실화🔥 피아노 치는 김민정 실존❗️ l EP.28 l 조현아의 목요일 밤 l 윈터 에스파 조현아,1302224
18,Kane Debut Goal - Sané Brace! | SV Werder Bremen - Bayern München 0-4 | MD 1 – Bundesliga 23/24,2778828
19,"JIHYO(지효) ""Killin' Me Good"" M/V",7603451
20,비오는날 요쿠르트 배달해서 매출 1000만원 24살 요구르트 아가씨,521381
21,[아이유의 팔레트🎨] '넬'도 '넬'모레도 '넬'하세요 (With 넬) Ep.22,268513
22,실리카겔 (Silica Gel) - T + Tik Tak Tok (feat. So!YoON!) [MV],279474
23,한국어는 넘치는데 말은 안통하는 나라⎥🇨🇳연변1,980348
24,떼창 [폼미쳤다]❗️ 영탁이 [찐이야] 외친 신촌 떼창 🔥 | 떼창의 민족 | Sing-along Busking,291709
25,"[하이라이트] 16기 상철💗영숙 설렘 모먼트 모음zip! 🤖 printf(""썸""); 입력합니다 | 나는 솔로 SOLO | ENA 채널 | 매주 수요일 밤 10시 30분",220746
26,인테리어의神 박서진ㅣ건어물 가게에 담은 반년의 진심,138597
27,[선공개🎨] '지구가 태양을 네 번' IU Live Clip (With 넬),741337
28,"[sub] 성시경의 먹을텐데 l 논현동 삼호짱뚱이 2탄 (with. 하정우,주지훈)",2453474
29,"[나 혼자 산다 선공개] 팜유의 금남아(?) 금남시장 보쌈 식당 입성한 트와이스 지효 ✨ 보쌈 + 뜨끈 칼제비 + 맥주 🍚 행복 혼밥, MBC 230818 방송",482501
30,신호 대기 중이던 버스가 문 열어준 이유?!,1594442
31,FIFTY FIFTY (피프티피프티) - 'Cupid [Twin Ver.] (feat. Sabrina Carpenter)' Visualizer,585049
32,"결국 다녀온 몽골... (Feat. 용띠클럽, 강훈)",914135
33,[🤰🏻vlog] 입덧이..사라지나..? 마님과 돌쇠 생활에 익숙해진 임신 중기! 열심히 먹고 쉬는 일상 (feat. 축 시누언니 셋째아기 출산),685206
34,실전 현실육아 가보자고,692168
35,VLOG 하루종일 엄마!!외치는 8개월아기😍피곤에 찌든 남편과 주말육아😵,247782
36,"돼지갈비 후라이드 : 치킨보다 맛있다는 게 사실일까? 부산 깡통시장이 낳은 천재적인 아이디어! (탕수육, 돈가스와 완전 다름)",1588539
37,두 번째 만남에 가족이 되었습니다ㅣ키르기스스탄 - 세계여행 [64],764161
38,빵빵이의 체크인 ~!,3804111
39,아직 말은 안 통하지만 이젠 우리집 막내야,256551
40,모든 음식이 무제한으로 나오는 멕시코 호텔 - 북중미(7),1143522
41,비상사태!! 양식장이 아닙니다.. 생태계를 파괴하는 한국판 피라냐!! 한번에 수백키로씩 잡히네요..,1697310
42,하루 종일 한 가지 맛으로 만 살아남기! 어떤 맛이 제일 맛있을까?!,170333
43,시작한지 단 1분만에 우승 확정 ㅋㅋㅋㅋ 시작하자마자 뜬 기적의 상점에서 시작되는 레전드 사기판 ㄷㄷㄷㄷ,430873
44,개농장 강아지가 처음으로 사랑을 받으면 생기는 일,500519
45,가지 이제 찌지말고 이렇게 해 보세요 오래두어도 쫄깃해요,287012
46,드릴말씀 있어요,267497
47,빅띵. 여러분 덕분입니다.,1024639
48,집을 잃은 말랭씨..(24시간 관찰카메라),426384
49,"식욕이 무기력을 이겨버린 일상/ 불닭볶음탕면 + 통삼겹살구이 / 한강 치킨+라면 / 설빙 / 오징어김밥, 아욱된장국, 샤브샤브, 오므라이스",294722
50,빵빵이의 체크인 ~!,3804111
51,[sub] 이제는로맨스까지접수한형이랑나불,2817288
52,aespa 에스파 'Better Things' MV,29614564
53,이제는로맨스까지접수한형이랑또나불,1439983
54,[SUB] 🔥충격 실화🔥 피아노 치는 김민정 실존❗️ l EP.28 l 조현아의 목요일 밤 l 윈터 에스파 조현아,1302224
55,신호 대기 중이던 버스가 문 열어준 이유?!,1594442
56,[9-10화 하이라이트] 항상 날 지켜주던 엄마가 다쳤다 | 남남,906563
57,한국어는 넘치는데 말은 안통하는 나라⎥🇨🇳연변1,980348
58,지구의 모든 나라들이 25만 달러를 위해 싸우다,67305792
59,[SUB] 99대장 나선욱 vs 맵찔대장 권은비 🌶매콤한 소개팅🌶 | 선넘는 맵찔이 Ep. 5,1215579
60,STAYC(스테이씨) 'Bubble' MV,24611845
61,If I have you only (My love X Nerd Connection) (그대만 있다면 (여름날 우리 X...,337681
62,On the street (Feat. ASH ISLAND),569349
63,음식이 너무 맛있어요,2729284
64,[ENG] [스우파2/1회 예고] POWER TO POWER ⚡강자는 강자와 붙어야죠⚡ l 8월 22일 (화) 밤 10시 첫 방송 #스트릿우먼파이터2,1187505
65,"돼지갈비 후라이드 : 치킨보다 맛있다는 게 사실일까? 부산 깡통시장이 낳은 천재적인 아이디어! (탕수육, 돈가스와 완전 다름)",1588539
66,[사이다당] 준호 도련님 급방문으로 파견직 무시하던 갑질 상사 역관광하는 김가은✌️🔥｜ 킹더랜드 | JTBC 230805 방송,3397805
67,P의 연애,383257
68,[선공개🎨] '지구가 태양을 네 번' IU Live Clip (With 넬),741337
69,[후토크] 추멘 “이런 토트넘 축구는 처음” 맨유 압도했던 NEW 토트넘의 놀라운 경기력!!,334973
70,두 번째 만남에 가족이 되었습니다ㅣ키르기스스탄 - 세계여행 [64],764161
71,[23/24시즌 리그앙] 2R 툴루즈 vs 파리 생제르맹 2분 하이라이트,767997
72,나한테 잘해줬던 여자,477189
73,[백종원의 님아 그 시장을 가오_EP.31_서산] “사장님 저랑 서울 갈래요?” 매일 출근 도장 찍고 싶은 곳! 서산 분식집,2166924
74,[#유퀴즈온더블럭] 이병헌의 본격 이민정(우리 MJ) 자랑 타임ㅋㅋㅋ 2세까지도 유쾌한 썰이 넘치는 이 가족🤣 #이병헌,2339278
75,"JIHYO(지효) ""Killin' Me Good"" M/V",7603451
76,(SUB)[전지적 할부지 시점] “딸부자라 행복해요” 귀여운 쌍둥이 손녀들과 친정아빠에게 아기를 맡기는 큰 딸 아이바오🐼│Panda World,1757898
77,TOTTENHAM HOTSPUR 2-0 MANCHESTER UNITED | PREMIER LEAGUE HIGHLIGHTS,2573209
78,(PL 2R) 토트넘 홋스퍼 2-0 맨체스터 유나이티드 // 2분 하이라이트 (🇰🇷 한글자막),445851
79,저는 보통 해축이 개막하면 주간모음집을 봐요｜23/24 해외축구 주간 모음.zip [EP.01],493482
80,"결국 다녀온 몽골... (Feat. 용띠클럽, 강훈)",914135
81,비오는날 요쿠르트 배달해서 매출 1000만원 24살 요구르트 아가씨,521381
82,먹지마,1682177
83,[MV] GIRL'S DAY(걸스데이) - Darling(달링)｜Cover by 주르르,576145
84,[🤰🏻vlog] 입덧이..사라지나..? 마님과 돌쇠 생활에 익숙해진 임신 중기! 열심히 먹고 쉬는 일상 (feat. 축 시누언니 셋째아기 출산),685206
85,가지 이제 찌지말고 이렇게 해 보세요 오래두어도 쫄깃해요,287012
86,1달러 대 25만 달러짜리 휴가!,113049524
87,진짜 아무 계획 없이 떠난 홍콩 여행 EP.1 [Eng sub],594606
88,덱스와 두근두근 인도 산골도시 산책 【쇼트트립】,2233966
89,비상사태!! 양식장이 아닙니다.. 생태계를 파괴하는 한국판 피라냐!! 한번에 수백키로씩 잡히네요..,1697310
90,밥 대신 먹으면 살 빠지는 5가지 두부요리!! 다이어트 두부 요리👍💯,536200
91,마트에서 깻잎 보이면 무조건 담아오세요.👍👍 집에 있는 쌀통이 텅텅 빕니다. 깻잎요리 3가지 강쉪.,418239
92,바다에서 7일 간 표류했어요,129081467
93,💥식당찬모님이 알려주신 맛있는 ✔오이냉국은 이방법이 최고💯,1072515
94,개농장 강아지가 처음으로 사랑을 받으면 생기는 일,500519
95,세상에 이런 방법이... ✔정말 맛있고 간단해서 두 번 놀라는,324992
